id	x	y	tag
42128582	220	190	0
42128583	211	174	0
42128584	198	156	0
42128585	190	248	0
42128586	189	262	0
42128587	209	258	0
42128588	204	236	0
42128589	221	243	0
42128590	220	224	0
42128591	213	209	0
42128592	234	204	0
42128593	237	228	0
42128594	245	247	0
42128595	202	292	0
42128596	202	279	0
42128597	183	283	0
42128598	172	252	0
42128599	234	169	0
42128600	241	188	0
42128601	255	194	0
42128602	257	178	0
42128603	246	157	0
42128604	225	157	0
42128605	221	103	0
42128606	246	101	0
42128607	228	123	0
42128608	215	141	0
42128609	233	140	0
42128610	250	127	0
42128611	216	70	0
42128612	205	54	0
42128613	213	31	0
42128614	224	53	0
42128615	236	39	0
42128616	238	70	0
42128617	240	90	0
42128618	178	303	0
42128619	224	264	0
42128620	178	430	0
42128621	195	427	0
42128622	185	414	0
42128623	172	390	0
42128624	187	379	0
42128625	200	363	0
42128626	196	396	0
42128627	206	382	0
42128628	209	404	0
42128629	225	366	0
42128630	242	352	0
42128631	250	341	0
42128632	246	448	0
42128633	234	439	0
42128634	242	423	0
42128635	168	357	0
42128636	152	365	0
42128637	160	157	0
42128638	192	177	0
42128639	160	199	0
42128640	161	178	0
42128641	174	171	0
42128642	177	154	0
42128643	181	204	0
42128644	178	190	0
42128645	196	193	0
42128646	196	322	0
42128647	216	312	0
42128648	222	290	0
42128649	156	312	0
42128650	237	312	0
42128651	176	341	0
42128652	138	317	0
42128653	132	332	0
42128654	147	132	0
42128655	127	84	0
42128656	128	106	0
42128657	135	172	0
42128658	181	231	0
42128659	157	218	0
42128660	149	255	0
42128661	135	209	0
42128662	137	194	0
42128663	132	372	0
42128664	221	422	0
42128665	225	390	0
42128666	249	389	0
42128667	236	407	0
42128668	231	345	0
42128669	238	279	0
42128670	248	295	0
42128671	218	445	0
42128672	205	439	0
42128673	156	117	0
42128674	146	96	0
42128675	160	289	0
42128676	135	301	0
42128677	143	411	0
42128678	218	330	0
42128679	234	329	0
42128680	209	349	0
42128681	196	339	0
42128682	199	218	0
42128683	159	234	0
42128684	166	267	0
42128685	156	338	0
42128686	178	324	0
42128687	162	407	0
42128688	152	385	0
42128689	198	142	0
42128690	199	121	0
42128691	200	106	0
42128692	209	88	0
42128693	177	134	0
42128694	171	102	0
42128695	181	81	0
42128696	246	56	0
42128697	243	25	0
42128698	222	18	0
42128699	195	15	0
42128700	186	40	0
42128701	253	212	0
42128702	251	267	0
42128703	254	320	0
42128704	248	372	0
42128705	253	413	0
42128706	252	434	0
42128707	190	451	0
42128708	174	448	0
42128709	150	75	0
42128710	160	57	0
42128711	184	62	0
42129214	187	357	0
42129215	172	373	0
42129542	141	152	0
