id	x	y	tag
42079957	145	274	0
42079958	111	254	0
42079959	118	218	0
42079960	157	223	0
42079961	192	246	0
42079962	201	280	0
42079963	174	304	0
42079964	158	326	0
42079965	201	319	0
42079966	191	359	0
42079967	151	366	0
42079968	122	369	0
42079969	132	402	0
42079970	111	331	0
42079971	98	298	0
42079972	64	266	0
42079973	78	229	0
42079974	69	201	0
42079975	108	180	0
42079976	161	179	0
42079977	126	153	0
42079978	190	198	0
42079979	211	168	0
42079980	162	140	0
42079981	125	110	0
42079982	84	148	0
42079983	65	107	0
42079984	93	98	0
42079985	178	105	0
42079986	201	133	0
42079987	226	138	0
42079988	223	213	0
42079989	236	255	0
42079990	241	306	0
42079991	235	346	0
42079992	224	379	0
42079993	178	403	0
42079994	152	435	0
42079995	99	430	0
42079996	86	383	0
42079997	54	343	0
42079998	55	310	0
42079999	237	90	0
42080000	211	413	0
42080001	196	434	0
42080002	251	414	0
42080003	51	387	0
42080004	63	421	0
42080005	200	82	0
42080006	206	52	0
42080007	127	62	0
42080008	75	58	0
42080009	94	20	0
42080010	48	26	0
42080011	43	168	0
42080012	34	122	0
42080013	40	231	0
42080014	155	15	0
42080015	173	42	0
42080016	161	81	0
42080017	232	117	0
