id	x	y	tag
42122915	146	143	0
42122916	177	156	0
42122917	162	188	0
42122918	168	227	0
42122919	199	204	0
42122920	220	158	0
42122921	188	125	0
42122922	192	98	0
42122923	226	100	0
42122924	221	63	0
42122925	181	58	0
42122926	146	52	0
42122927	149	95	0
42122928	119	85	0
42122929	115	117	0
42122930	105	139	0
42122931	117	178	0
42122932	133	217	0
42122933	101	200	0
42122934	119	268	0
42122935	168	266	0
42122936	198	254	0
42122937	230	238	0
42122938	246	197	0
42122939	241	274	0
42122940	191	290	0
42122941	219	319	0
42122942	189	331	0
42122943	156	297	0
42122944	152	337	0
42122945	176	358	0
42122946	214	364	0
42122947	251	383	0
42122948	232	410	0
42122949	206	403	0
42122950	227	436	0
42122951	192	446	0
42122952	163	408	0
42122953	136	368	0
42122954	120	333	0
42122955	104	302	0
42122956	247	78	0
42122957	252	47	0
42122958	206	30	0
42122959	160	25	0
42122960	133	4	0
42122961	93	34	0
42122962	246	129	0
