id	x	y	tag
42132218	101	152	0
42132219	80	143	0
42132220	106	125	0
42132221	137	127	0
42132222	167	98	0
42132223	133	90	0
42132224	151	82	0
42132225	140	61	0
42132226	173	63	0
42132227	186	46	0
42132228	207	71	0
42132229	186	81	0
42132230	195	103	0
42132231	218	90	0
42132232	221	124	0
42132233	113	76	0
42132234	124	45	0
42132235	137	21	0
42132236	158	37	0
42132237	84	49	0
42132238	82	78	0
42132239	106	103	0
42132240	78	101	0
42132241	71	176	0
42132242	104	186	0
42132243	136	202	0
42132244	134	167	0
42132245	174	167	0
42132246	209	156	0
42132247	184	125	0
42132248	141	275	0
42132249	199	225	1
42132250	84	244	1
42132251	111	278	0
42132252	116	311	0
42132253	134	295	0
42132254	158	300	0
42132255	160	285	0
42132256	165	269	0
42132257	200	288	0
42132258	182	356	0
42132259	97	325	0
42132260	84	299	0
42132261	63	310	0
42132262	158	4	0
42132263	56	57	0
42132264	54	81	0
42132265	72	198	0
42132266	109	212	0
42132267	47	213	0
42132268	46	175	0
42132269	233	132	0
42132270	243	107	0
42132271	241	80	0
42132272	242	49	0
42132273	189	184	0
42132274	162	193	0
42132275	222	197	0
42132276	209	181	0
42132277	228	175	0
42132278	249	181	0
42132279	249	220	0
42132280	223	260	0
42132281	155	349	0
42132282	101	354	0
42132283	152	435	0
42132284	176	415	0
42132285	224	406	0
42132286	125	379	1
42132287	197	387	1
42132288	245	336	1
42132289	208	319	1
42132290	236	259	1
42132291	196	143	1
42132292	56	130	1
42132293	101	19	1
42132294	213	38	1
42132295	125	419	1
42132296	81	448	1
42132297	215	451	1
