id	x	y	tag
42079614	104	130	0
42079615	107	113	0
42079616	117	97	0
42079617	93	98	0
42079618	107	80	0
42079619	126	117	0
42079620	123	136	0
42079621	89	149	0
42079622	112	151	0
42079623	109	164	0
42079624	109	182	0
42079625	90	169	0
42079626	73	188	0
42079627	91	189	0
42079628	102	199	0
42079629	109	215	0
42079630	81	207	0
42079631	99	228	0
42079632	63	223	0
42079633	78	233	0
42079634	89	253	0
42079635	104	244	0
42079636	121	234	0
42079637	118	249	0
42079638	106	260	0
42079639	93	273	0
42079640	84	127	0
42079641	66	143	0
42079642	72	109	0
42079643	72	89	0
42079644	61	123	0
42079645	40	120	0
42079646	46	139	0
42079647	49	159	0
42079648	68	166	0
42079649	50	183	0
42079650	42	211	0
42079651	61	205	0
42079652	122	195	0
42079653	131	212	0
42079654	145	229	0
42079655	137	245	0
42079656	130	265	0
42079657	113	282	0
42079658	99	293	0
42079659	120	301	0
42079660	130	288	0
42079661	153	255	0
42079662	148	280	0
42079663	143	306	0
42079664	147	326	0
42079665	160	314	0
42079666	161	292	0
42079667	46	233	0
42079668	63	246	0
42079669	73	269	0
42079670	82	286	0
42079671	86	305	0
42079672	104	315	0
42079673	124	326	0
42079674	133	344	0
42079675	139	362	0
42079676	140	192	0
42079677	127	179	0
42079678	130	160	0
42079679	149	176	0
42079680	147	211	0
42079681	162	216	0
42079682	161	196	0
42079683	176	181	0
42079684	167	166	0
42079685	151	157	0
42079686	141	144	0
42079687	157	135	0
42079688	142	129	0
42079689	146	107	0
42079690	165	116	0
42079691	175	129	0
42079692	173	151	0
42079693	187	139	0
42079779	176	258	0
42079780	169	238	0
42079781	180	221	0
42079782	176	205	0
42079783	195	196	0
42079784	199	179	0
42079785	188	160	0
42079786	203	145	0
42079787	207	126	0
42079788	186	117	0
42079789	197	107	0
42079790	180	100	0
42079791	162	98	0
42079792	152	78	0
42079793	130	78	0
42079794	137	94	0
42079795	115	60	0
42079796	97	60	0
42079797	86	75	0
42079798	61	74	0
42079799	50	100	0
42079800	30	108	0
42079801	24	91	0
42079802	38	72	0
42079803	47	62	0
42079804	58	54	0
42079805	78	57	0
42079806	89	40	0
42079807	104	43	0
42079808	98	27	0
42079809	114	28	0
42079810	128	47	0
42079811	140	61	0
42079812	162	55	0
42079813	155	41	0
42079814	140	24	0
42079815	189	236	0
42079816	199	215	0
42079817	213	198	0
42079818	222	216	0
42079819	213	234	0
42079820	200	251	0
42079821	196	269	0
42079822	163	269	0
42079823	180	277	0
42079824	178	300	0
42079825	197	294	0
42079826	212	283	0
42079827	215	262	0
42079828	166	334	0
42079829	184	316	0
42079830	186	342	0
42079831	171	352	0
42079832	151	343	0
42079833	158	365	0
42079834	99	335	0
42079835	111	348	0
42079836	80	319	0
42079837	67	302	0
42079838	61	284	0
42079839	53	271	0
42079840	43	253	0
42079841	33	276	0
42079842	49	290	0
42079843	51	308	0
42079844	63	324	0
42079845	56	338	0
42079846	80	337	0
42079847	73	353	0
42079848	93	352	0
42079849	104	368	0
42079850	83	375	0
42079851	63	372	0
42079852	54	353	0
42079853	37	344	0
42079854	36	325	0
42079855	34	304	0
42079856	23	209	0
42079857	27	192	0
42079858	31	174	0
42079859	27	151	0
42079860	23	125	0
42079861	176	80	0
42079862	186	56	0
42079863	204	46	0
42079864	208	60	0
42079865	200	74	0
42079866	195	90	0
42079867	215	91	0
42079868	213	162	0
42079869	222	143	0
42079870	233	127	0
42079871	218	111	0
42079872	236	94	0
42079873	216	179	0
42079874	232	191	0
42079875	235	234	0
42079876	242	214	0
42079877	239	253	0
42079878	231	277	0
42079879	67	37	0
42079880	77	25	0
42079881	86	10	0
42079882	103	11	0
42079883	122	11	0
42079884	83	394	0
42079885	100	387	0
42079886	114	408	0
42079887	120	386	0
42079888	124	365	0
42079889	144	383	0
42079890	137	400	0
42079891	165	22	0
42079892	175	38	0
42079893	188	25	0
42079894	231	56	0
42079895	232	165	0
42079896	205	331	0
42079897	211	313	0
42079898	221	295	0
42079899	65	406	0
42079900	69	384	0
42079901	54	388	0
42079902	41	366	0
42079903	22	362	0
42079904	31	229	0
42079905	29	244	0
42079906	170	378	0
42079907	160	396	0
42079908	151	412	0
42079909	152	424	0
42079910	140	431	0
42079911	131	417	0
42079912	120	427	0
42079913	102	429	0
42079914	98	404	0
42079915	81	412	0
42079916	72	431	0
42079917	51	426	0
42079918	46	406	0
42079919	28	404	0
42079920	30	378	0
42079921	180	397	0
42079922	195	382	0
42079923	186	364	0
42079924	210	354	0
42079925	223	333	0
42079926	231	317	0
42079927	236	295	0
42079928	250	280	0
42079929	241	142	0
42079930	58	15	0
42079931	46	38	0
42079932	28	55	0
42079933	25	34	0
42079934	36	18	0
42079935	70	6	0
42079936	148	6	0
42079937	171	6	0
42079938	210	16	0
42079939	191	6	0
42079940	224	34	0
42079941	230	73	0
42079942	243	80	0
42079943	245	63	0
42079944	249	110	0
42079945	251	183	0
42079946	237	350	0
42079947	214	390	0
42079948	229	361	0
42079949	198	402	0
42079950	189	417	0
42079951	169	413	0
42079952	211	374	0
42079953	230	377	0
42079954	231	394	0
42079955	246	367	0
42079956	222	409	0
42084761	83	449	0
42084764	128	448	0
42084765	145	446	0
42084766	111	444	0
42084767	98	450	0
42084768	113	458	0
42084769	127	471	0
42084770	143	469	0
42084771	155	461	0
42084772	164	441	0
42084773	169	425	0
