id	x	y	tag
42129253	163	148	0
42129254	166	133	0
42129255	172	114	0
42129256	151	107	0
42129257	146	126	0
42129258	144	141	0
42129259	127	139	0
42129260	128	122	0
42129261	127	105	0
42129262	127	77	0
42129263	151	91	0
42129264	170	100	0
42129265	191	122	0
42129266	179	137	0
42129267	167	165	0
42129268	180	173	0
42129269	192	178	0
42129270	185	196	0
42129271	168	181	0
42129272	169	195	0
42129273	151	191	0
42129274	149	159	0
42129275	119	155	0
42129276	109	106	0
42129277	109	126	0
42129278	103	145	0
42129279	180	156	0
42129280	201	167	0
42129281	216	160	0
42129282	197	150	0
42129283	215	144	0
42129284	202	132	0
42129285	220	124	0
42129286	113	84	0
42129287	95	96	0
42129288	96	75	0
42129289	137	60	0
42129290	148	77	0
