id	x	y	tag
42132036	192	255	0
42132037	210	246	0
42132038	208	262	0
42132039	222	258	0
42132040	228	240	0
42132041	239	253	0
42132042	246	235	0
42132043	253	267	0
42132044	236	275	0
42132045	231	291	0
42132046	216	276	0
42132047	206	294	0
42132048	195	277	0
42132049	186	295	0
42132050	180	284	0
42132051	179	271	0
42132052	173	256	0
42132053	174	244	0
42132054	207	230	0
42132055	194	221	0
42132056	208	212	0
42132057	226	220	0
42132058	228	206	0
42132059	242	218	0
42132060	246	206	0
42132061	250	194	0
42132062	237	187	0
42132063	250	179	0
42132064	237	165	0
42132065	250	162	0
42132066	241	145	0
42132067	222	156	0
42132068	220	176	0
42132069	201	184	0
42132070	213	192	0
42132071	191	204	0
42132072	181	186	0
42132073	189	173	0
42132074	203	162	0
42132075	190	152	0
42132076	207	143	0
42132077	222	137	0
42132078	238	131	0
42132079	252	124	0
42132080	248	112	0
42132081	229	121	0
42132082	206	128	0
42132083	191	137	0
42132084	173	149	0
42132085	176	131	0
42132086	191	122	0
42132087	204	107	0
42132088	227	102	0
42132089	248	92	0
42132090	246	74	0
42132091	233	83	0
42132092	233	59	0
42132093	213	73	0
42132094	209	91	0
42132095	201	76	0
42132096	192	94	0
42132097	186	107	0
42132098	171	116	0
42132099	176	98	0
42132100	180	77	0
42132101	192	62	0
42132102	181	56	0
42132103	194	40	0
42132104	207	54	0
42132105	209	37	0
42132106	229	44	0
42132107	241	38	0
42132108	254	26	0
42132109	245	12	0
42132110	225	29	0
42132111	219	15	0
42132112	211	5	0
42132113	202	23	0
42132114	191	16	0
42132115	185	37	0
42132116	172	44	0
42132117	164	62	0
42132118	160	79	0
42132119	159	95	0
42132120	159	137	0
42132121	156	152	0
42132122	153	170	0
42132123	153	189	0
42132124	151	204	0
42132125	168	212	0
42132126	167	194	0
42132127	167	179	0
42132128	173	159	0
42132129	146	138	0
42132130	149	125	0
42132131	146	107	0
42132132	134	101	0
42132133	137	80	0
42132134	147	67	0
42132135	132	56	0
42132136	152	53	0
42132137	142	32	0
42132138	156	33	0
42132139	171	25	0
42132140	162	18	0
42132141	158	6	0
42132142	127	5	0
42132143	227	306	0
42132144	243	303	0
42132145	248	286	0
42132146	254	321	0
42132147	251	337	0
42132148	237	322	0
42132149	234	340	0
42132150	220	326	0
42132151	215	341	0
42132152	200	327	0
42132153	198	345	0
42132154	185	343	0
42132155	181	323	0
42132156	194	311	0
42132157	180	310	0
42132158	164	314	0
42132159	168	291	0
42132160	164	274	0
42132161	159	253	0
42132162	152	270	0
42132163	149	285	0
42132164	149	308	0
42132165	150	324	0
42132166	165	335	0
42132167	162	357	0
42132168	149	342	0
42132169	179	357	0
42132170	185	377	0
42132171	174	371	0
42132172	201	363	0
42132173	218	354	0
42132174	219	372	0
42132175	233	360	0
42132176	249	355	0
42132177	251	370	0
42132178	239	381	0
42132179	248	388	0
42132180	236	395	0
42132181	245	406	0
42132182	231	415	0
42132183	246	424	0
42132184	228	434	0
42132185	247	442	0
42132186	236	454	0
42132187	223	464	0
42132188	217	449	0
42132189	204	431	0
42132190	215	410	0
42132191	216	391	0
42132192	201	410	0
42132193	189	395	0
42132194	171	381	0
42132195	179	414	0
42132196	164	413	0
42132197	172	431	0
42132198	174	452	0
42132199	191	444	0
42132200	186	427	0
42132201	202	456	0
42132202	189	461	0
42132203	210	314	0
42132204	195	240	0
42132205	160	234	0
42132206	178	232	0
42132207	205	381	0
42132208	171	399	0
42132209	261	245	0
42132210	156	460	0
42132211	119	27	0
42132212	178	5	0
42132213	131	117	0
42132214	171	348	0
