id	x	y	tag
42128469	180	237	0
42128470	174	262	0
42128471	178	282	0
42128472	176	302	0
42128473	172	326	0
42128474	165	347	0
42128475	175	366	0
42128476	187	384	0
42128477	196	361	0
42128478	188	338	0
42128479	197	322	0
42128480	194	298	0
42128481	215	313	0
42128482	214	286	0
42128483	197	277	0
42128484	197	255	0
42128485	198	237	0
42128486	209	219	0
42128487	187	221	0
42128488	200	200	0
42128489	179	204	0
42128490	205	177	0
42128491	184	180	0
42128492	165	187	0
42128493	175	161	0
42128494	188	160	0
42128495	207	150	0
42128496	183	141	0
42128497	169	126	0
42128498	187	114	0
42128499	172	104	0
42128500	201	89	0
42128501	217	109	0
42128502	211	129	0
42128503	229	150	0
42128504	230	175	0
42128505	224	193	0
42128506	220	208	0
42128507	233	229	0
42128508	237	204	0
42128509	247	230	0
42128510	220	245	0
42128511	243	253	0
42128512	229	264	0
42128513	242	274	0
42128514	237	291	0
42128515	240	318	0
42128516	219	337	0
42128517	222	363	0
42128518	241	348	0
42128519	246	369	0
42128520	212	381	0
42128521	243	385	0
42128522	221	411	0
42128523	202	404	0
42128524	198	427	0
42128525	225	424	0
42128526	234	442	0
42128527	241	417	0
42128528	181	443	0
42128529	214	447	0
42128530	176	417	0
42128531	147	332	0
42128532	155	312	0
42128533	160	287	0
42128534	155	264	0
42128535	136	257	0
42128536	159	245	0
42128537	169	224	0
42128538	148	222	0
42128539	160	203	0
42128540	137	203	0
42128541	149	184	0
42128542	132	184	0
42128543	133	111	0
42128544	149	131	0
42128545	123	132	0
42128546	146	148	0
42128547	156	110	0
42128548	142	97	0
42128549	196	69	0
42128550	221	87	0
42128551	219	67	0
42128552	245	72	0
42128553	240	53	0
42128554	222	49	0
42128555	183	48	0
42128556	199	23	0
42128557	226	28	0
42128558	175	25	0
42128559	165	47	0
42128560	159	67	0
42128561	135	54	0
42128562	143	35	0
42128563	146	16	0
42128564	178	78	0
42128565	163	85	0
42128566	136	77	0
42128567	116	72	0
42128568	118	88	0
42128569	245	118	0
42128570	232	95	0
42128571	245	89	0
42128572	243	166	0
42128573	199	463	0
42128574	173	466	0
42128575	161	424	0
42128576	155	444	0
42128577	149	457	0
42128578	136	429	0
42128579	160	169	0
42128580	248	147	0
42128581	166	143	0
42128936	160	362	0
42128937	157	380	0
42128938	138	282	0
42128939	115	263	0
42128940	120	289	0
42128941	113	312	0
42128942	131	307	0
42128943	117	330	0
42128944	124	401	0
42128945	97	27	0
42128946	123	166	0
42128947	101	80	0
42128948	111	115	0
42128949	115	239	0
42128950	98	149	0
42128951	149	405	0
42128952	142	364	0
42128953	157	392	0
42128954	109	214	0
42128955	125	219	0
42128956	120	200	0
42128957	239	468	0
42128958	212	467	0
42128959	250	465	0
42128960	230	126	0
42128961	126	350	0
42128962	126	374	0
42129213	134	451	0
42129541	136	239	0
